"","Offense","Seattle_neighborhoods"
"762","Robbery","BALLARD NORTH"
"1649","Robbery","BALLARD NORTH"
"2322","Robbery","BALLARD NORTH"
"74756","Robbery","BALLARD NORTH"
"81184","Robbery","BALLARD NORTH"
"83874","Robbery","BALLARD NORTH"
"103159","Robbery","BALLARD NORTH"
"105410","Robbery","BALLARD NORTH"
"108538","Robbery","BALLARD NORTH"
"110794","Robbery","BALLARD NORTH"
"113584","Robbery","BALLARD NORTH"
"120174","Robbery","BALLARD NORTH"
"121348","Robbery","BALLARD NORTH"
"130261","Robbery","BALLARD NORTH"
"131472","Robbery","BALLARD NORTH"
"132119","Robbery","BALLARD NORTH"
"132123","Robbery","BALLARD NORTH"
"137081","Robbery","BALLARD NORTH"
"137385","Robbery","BALLARD NORTH"
"151","Robbery","BALLARD SOUTH"
"320","Robbery","BALLARD SOUTH"
"2834","Robbery","BALLARD SOUTH"
"66886","Robbery","BALLARD SOUTH"
"69618","Robbery","BALLARD SOUTH"
"75088","Robbery","BALLARD SOUTH"
"75408","Robbery","BALLARD SOUTH"
"75867","Robbery","BALLARD SOUTH"
"76715","Robbery","BALLARD SOUTH"
"76864","Robbery","BALLARD SOUTH"
"81909","Robbery","BALLARD SOUTH"
"82983","Robbery","BALLARD SOUTH"
"99088","Robbery","BALLARD SOUTH"
"100477","Robbery","BALLARD SOUTH"
"100972","Robbery","BALLARD SOUTH"
"104160","Robbery","BALLARD SOUTH"
"105468","Robbery","BALLARD SOUTH"
"106548","Robbery","BALLARD SOUTH"
"110132","Robbery","BALLARD SOUTH"
"110456","Robbery","BALLARD SOUTH"
"110849","Robbery","BALLARD SOUTH"
"113590","Robbery","BALLARD SOUTH"
"115757","Robbery","BALLARD SOUTH"
"116632","Robbery","BALLARD SOUTH"
"117719","Robbery","BALLARD SOUTH"
"120504","Robbery","BALLARD SOUTH"
"120734","Robbery","BALLARD SOUTH"
"121542","Robbery","BALLARD SOUTH"
"121835","Robbery","BALLARD SOUTH"
"122667","Robbery","BALLARD SOUTH"
"126421","Robbery","BALLARD SOUTH"
"126581","Robbery","BALLARD SOUTH"
"128856","Robbery","BALLARD SOUTH"
"133024","Robbery","BALLARD SOUTH"
"133059","Robbery","BALLARD SOUTH"
"133093","Robbery","BALLARD SOUTH"
"133409","Robbery","BALLARD SOUTH"
"134252","Robbery","BALLARD SOUTH"
"135786","Robbery","BALLARD SOUTH"
"136219","Robbery","BALLARD SOUTH"
"136910","Robbery","BALLARD SOUTH"
"137033","Robbery","BALLARD SOUTH"
"137154","Robbery","BALLARD SOUTH"
"137366","Robbery","BALLARD SOUTH"
"159868","Robbery","BALLARD SOUTH"
"173267","Robbery","BALLARD SOUTH"
"231419","Robbery","BALLARD SOUTH"
"239696","Robbery","BALLARD SOUTH"
"266171","Robbery","BALLARD SOUTH"
"276032","Robbery","BALLARD SOUTH"
