"","Offense","Seattle_neighborhoods"
"969","Shoplifting","BALLARD NORTH"
"61967","Shoplifting","BALLARD NORTH"
"67422","Shoplifting","BALLARD NORTH"
"69489","Shoplifting","BALLARD NORTH"
"69762","Shoplifting","BALLARD NORTH"
"70105","Shoplifting","BALLARD NORTH"
"74512","Shoplifting","BALLARD NORTH"
"74712","Shoplifting","BALLARD NORTH"
"79682","Shoplifting","BALLARD NORTH"
"86100","Shoplifting","BALLARD NORTH"
"86757","Shoplifting","BALLARD NORTH"
"98882","Shoplifting","BALLARD NORTH"
"104940","Shoplifting","BALLARD NORTH"
"105801","Shoplifting","BALLARD NORTH"
"107515","Shoplifting","BALLARD NORTH"
"109912","Shoplifting","BALLARD NORTH"
"114623","Shoplifting","BALLARD NORTH"
"114881","Shoplifting","BALLARD NORTH"
"114883","Shoplifting","BALLARD NORTH"
"117856","Shoplifting","BALLARD NORTH"
"117961","Shoplifting","BALLARD NORTH"
"119468","Shoplifting","BALLARD NORTH"
"121031","Shoplifting","BALLARD NORTH"
"123569","Shoplifting","BALLARD NORTH"
"126598","Shoplifting","BALLARD NORTH"
"127429","Shoplifting","BALLARD NORTH"
"127553","Shoplifting","BALLARD NORTH"
"130011","Shoplifting","BALLARD NORTH"
"131575","Shoplifting","BALLARD NORTH"
"131990","Shoplifting","BALLARD NORTH"
"132172","Shoplifting","BALLARD NORTH"
"133623","Shoplifting","BALLARD NORTH"
"133659","Shoplifting","BALLARD NORTH"
"134393","Shoplifting","BALLARD NORTH"
"134852","Shoplifting","BALLARD NORTH"
"239565","Shoplifting","BALLARD NORTH"
"67","Shoplifting","BALLARD SOUTH"
"221","Shoplifting","BALLARD SOUTH"
"825","Shoplifting","BALLARD SOUTH"
"944","Shoplifting","BALLARD SOUTH"
"998","Shoplifting","BALLARD SOUTH"
"1280","Shoplifting","BALLARD SOUTH"
"1391","Shoplifting","BALLARD SOUTH"
"2355","Shoplifting","BALLARD SOUTH"
"3065","Shoplifting","BALLARD SOUTH"
"67118","Shoplifting","BALLARD SOUTH"
"67136","Shoplifting","BALLARD SOUTH"
"67295","Shoplifting","BALLARD SOUTH"
"67435","Shoplifting","BALLARD SOUTH"
"67661","Shoplifting","BALLARD SOUTH"
"67848","Shoplifting","BALLARD SOUTH"
"68996","Shoplifting","BALLARD SOUTH"
"69331","Shoplifting","BALLARD SOUTH"
"69551","Shoplifting","BALLARD SOUTH"
"69844","Shoplifting","BALLARD SOUTH"
"73168","Shoplifting","BALLARD SOUTH"
"73301","Shoplifting","BALLARD SOUTH"
"73503","Shoplifting","BALLARD SOUTH"
"74235","Shoplifting","BALLARD SOUTH"
"74370","Shoplifting","BALLARD SOUTH"
"74384","Shoplifting","BALLARD SOUTH"
"74774","Shoplifting","BALLARD SOUTH"
"74775","Shoplifting","BALLARD SOUTH"
"75081","Shoplifting","BALLARD SOUTH"
"75193","Shoplifting","BALLARD SOUTH"
"75550","Shoplifting","BALLARD SOUTH"
"76687","Shoplifting","BALLARD SOUTH"
"76719","Shoplifting","BALLARD SOUTH"
"76724","Shoplifting","BALLARD SOUTH"
"77044","Shoplifting","BALLARD SOUTH"
"78057","Shoplifting","BALLARD SOUTH"
"78442","Shoplifting","BALLARD SOUTH"
"79628","Shoplifting","BALLARD SOUTH"
"79649","Shoplifting","BALLARD SOUTH"
"80283","Shoplifting","BALLARD SOUTH"
"80434","Shoplifting","BALLARD SOUTH"
"80525","Shoplifting","BALLARD SOUTH"
"80772","Shoplifting","BALLARD SOUTH"
"80778","Shoplifting","BALLARD SOUTH"
"81169","Shoplifting","BALLARD SOUTH"
"81977","Shoplifting","BALLARD SOUTH"
"82222","Shoplifting","BALLARD SOUTH"
"82223","Shoplifting","BALLARD SOUTH"
"82227","Shoplifting","BALLARD SOUTH"
"89949","Shoplifting","BALLARD SOUTH"
"90625","Shoplifting","BALLARD SOUTH"
"94699","Shoplifting","BALLARD SOUTH"
"95751","Shoplifting","BALLARD SOUTH"
"95832","Shoplifting","BALLARD SOUTH"
"96864","Shoplifting","BALLARD SOUTH"
"98884","Shoplifting","BALLARD SOUTH"
"99370","Shoplifting","BALLARD SOUTH"
"100794","Shoplifting","BALLARD SOUTH"
"101106","Shoplifting","BALLARD SOUTH"
"101442","Shoplifting","BALLARD SOUTH"
"102132","Shoplifting","BALLARD SOUTH"
"102145","Shoplifting","BALLARD SOUTH"
"103092","Shoplifting","BALLARD SOUTH"
"104565","Shoplifting","BALLARD SOUTH"
"106242","Shoplifting","BALLARD SOUTH"
"106963","Shoplifting","BALLARD SOUTH"
"107134","Shoplifting","BALLARD SOUTH"
"107140","Shoplifting","BALLARD SOUTH"
"107201","Shoplifting","BALLARD SOUTH"
"107553","Shoplifting","BALLARD SOUTH"
"107688","Shoplifting","BALLARD SOUTH"
"107706","Shoplifting","BALLARD SOUTH"
"108324","Shoplifting","BALLARD SOUTH"
"108401","Shoplifting","BALLARD SOUTH"
"108920","Shoplifting","BALLARD SOUTH"
"108985","Shoplifting","BALLARD SOUTH"
"109707","Shoplifting","BALLARD SOUTH"
"111918","Shoplifting","BALLARD SOUTH"
"111938","Shoplifting","BALLARD SOUTH"
"112260","Shoplifting","BALLARD SOUTH"
"112286","Shoplifting","BALLARD SOUTH"
"112393","Shoplifting","BALLARD SOUTH"
"112591","Shoplifting","BALLARD SOUTH"
"112941","Shoplifting","BALLARD SOUTH"
"113140","Shoplifting","BALLARD SOUTH"
"113145","Shoplifting","BALLARD SOUTH"
"113257","Shoplifting","BALLARD SOUTH"
"113633","Shoplifting","BALLARD SOUTH"
"114311","Shoplifting","BALLARD SOUTH"
"114972","Shoplifting","BALLARD SOUTH"
