"","Offense","Seattle_neighborhoods"
"115320","Shoplifting","BALLARD SOUTH"
"115931","Shoplifting","BALLARD SOUTH"
"116307","Shoplifting","BALLARD SOUTH"
"116393","Shoplifting","BALLARD SOUTH"
"116857","Shoplifting","BALLARD SOUTH"
"117068","Shoplifting","BALLARD SOUTH"
"117204","Shoplifting","BALLARD SOUTH"
"117850","Shoplifting","BALLARD SOUTH"
"118522","Shoplifting","BALLARD SOUTH"
"118523","Shoplifting","BALLARD SOUTH"
"118616","Shoplifting","BALLARD SOUTH"
"118666","Shoplifting","BALLARD SOUTH"
"119447","Shoplifting","BALLARD SOUTH"
"120106","Shoplifting","BALLARD SOUTH"
"120189","Shoplifting","BALLARD SOUTH"
"120298","Shoplifting","BALLARD SOUTH"
"120377","Shoplifting","BALLARD SOUTH"
"120418","Shoplifting","BALLARD SOUTH"
"120637","Shoplifting","BALLARD SOUTH"
"121301","Shoplifting","BALLARD SOUTH"
"121484","Shoplifting","BALLARD SOUTH"
"122469","Shoplifting","BALLARD SOUTH"
"122624","Shoplifting","BALLARD SOUTH"
"122640","Shoplifting","BALLARD SOUTH"
"122670","Shoplifting","BALLARD SOUTH"
"123515","Shoplifting","BALLARD SOUTH"
"123600","Shoplifting","BALLARD SOUTH"
"124581","Shoplifting","BALLARD SOUTH"
"124828","Shoplifting","BALLARD SOUTH"
"124901","Shoplifting","BALLARD SOUTH"
"124964","Shoplifting","BALLARD SOUTH"
"125062","Shoplifting","BALLARD SOUTH"
"125933","Shoplifting","BALLARD SOUTH"
"126145","Shoplifting","BALLARD SOUTH"
"126365","Shoplifting","BALLARD SOUTH"
"126448","Shoplifting","BALLARD SOUTH"
"126662","Shoplifting","BALLARD SOUTH"
"126813","Shoplifting","BALLARD SOUTH"
"126927","Shoplifting","BALLARD SOUTH"
"127289","Shoplifting","BALLARD SOUTH"
"127593","Shoplifting","BALLARD SOUTH"
"127727","Shoplifting","BALLARD SOUTH"
"128064","Shoplifting","BALLARD SOUTH"
"128351","Shoplifting","BALLARD SOUTH"
"128702","Shoplifting","BALLARD SOUTH"
"128712","Shoplifting","BALLARD SOUTH"
"129001","Shoplifting","BALLARD SOUTH"
"129400","Shoplifting","BALLARD SOUTH"
"129416","Shoplifting","BALLARD SOUTH"
"129461","Shoplifting","BALLARD SOUTH"
"129504","Shoplifting","BALLARD SOUTH"
"129999","Shoplifting","BALLARD SOUTH"
"130211","Shoplifting","BALLARD SOUTH"
"131145","Shoplifting","BALLARD SOUTH"
"131486","Shoplifting","BALLARD SOUTH"
"132006","Shoplifting","BALLARD SOUTH"
"132174","Shoplifting","BALLARD SOUTH"
"132241","Shoplifting","BALLARD SOUTH"
"132455","Shoplifting","BALLARD SOUTH"
"132458","Shoplifting","BALLARD SOUTH"
"132550","Shoplifting","BALLARD SOUTH"
"132753","Shoplifting","BALLARD SOUTH"
"132910","Shoplifting","BALLARD SOUTH"
"132996","Shoplifting","BALLARD SOUTH"
"133216","Shoplifting","BALLARD SOUTH"
"133262","Shoplifting","BALLARD SOUTH"
"133286","Shoplifting","BALLARD SOUTH"
"133387","Shoplifting","BALLARD SOUTH"
"133613","Shoplifting","BALLARD SOUTH"
"133664","Shoplifting","BALLARD SOUTH"
"133953","Shoplifting","BALLARD SOUTH"
"133955","Shoplifting","BALLARD SOUTH"
"135086","Shoplifting","BALLARD SOUTH"
"135141","Shoplifting","BALLARD SOUTH"
"135975","Shoplifting","BALLARD SOUTH"
"137320","Shoplifting","BALLARD SOUTH"
"159830","Shoplifting","BALLARD SOUTH"
"159837","Shoplifting","BALLARD SOUTH"
"159842","Shoplifting","BALLARD SOUTH"
"159843","Shoplifting","BALLARD SOUTH"
"159861","Shoplifting","BALLARD SOUTH"
"159881","Shoplifting","BALLARD SOUTH"
"159883","Shoplifting","BALLARD SOUTH"
"159887","Shoplifting","BALLARD SOUTH"
"159897","Shoplifting","BALLARD SOUTH"
"159919","Shoplifting","BALLARD SOUTH"
"159923","Shoplifting","BALLARD SOUTH"
"159924","Shoplifting","BALLARD SOUTH"
"159961","Shoplifting","BALLARD SOUTH"
"159966","Shoplifting","BALLARD SOUTH"
"159967","Shoplifting","BALLARD SOUTH"
"159971","Shoplifting","BALLARD SOUTH"
"159972","Shoplifting","BALLARD SOUTH"
"159973","Shoplifting","BALLARD SOUTH"
"159974","Shoplifting","BALLARD SOUTH"
"159987","Shoplifting","BALLARD SOUTH"
"160000","Shoplifting","BALLARD SOUTH"
"250840","Shoplifting","BALLARD SOUTH"
"308615","Shoplifting","BALLARD SOUTH"
