"","incident_type","city"
"21636","Simple Assault","BURIEN"
"21645","Simple Assault","BURIEN"
"21796","Simple Assault","BURIEN"
"21910","Simple Assault","BURIEN"
"22369","Simple Assault","BURIEN"
"22423","Simple Assault","BURIEN"
"22919","Simple Assault","BURIEN"
"23169","Simple Assault","BURIEN"
"24073","Simple Assault","BURIEN"
"26081","Simple Assault","BURIEN"
"26105","Simple Assault","BURIEN"
"26420","Simple Assault","BURIEN"
"26705","Simple Assault","BURIEN"
"26787","Simple Assault","BURIEN"
"26862","Simple Assault","BURIEN"
"27246","Simple Assault","BURIEN"
"27319","Simple Assault","BURIEN"
"28863","Simple Assault","BURIEN"
"29443","Simple Assault","BURIEN"
"29510","Simple Assault","BURIEN"
"29658","Simple Assault","BURIEN"
"30805","Simple Assault","BURIEN"
"30928","Simple Assault","BURIEN"
"30962","Simple Assault","BURIEN"
"31014","Simple Assault","BURIEN"
"31077","Simple Assault","BURIEN"
"31119","Simple Assault","BURIEN"
"31162","Simple Assault","BURIEN"
"31310","Simple Assault","BURIEN"
"31338","Simple Assault","BURIEN"
"31566","Simple Assault","BURIEN"
"31594","Simple Assault","BURIEN"
"31642","Simple Assault","BURIEN"
"33038","Simple Assault","BURIEN"
"33071","Simple Assault","BURIEN"
"33425","Simple Assault","BURIEN"
"33541","Simple Assault","BURIEN"
"33571","Simple Assault","BURIEN"
"33651","Simple Assault","BURIEN"
"33995","Simple Assault","BURIEN"
"34330","Simple Assault","BURIEN"
"34525","Simple Assault","BURIEN"
"35352","Simple Assault","BURIEN"
"35537","Simple Assault","BURIEN"
"35658","Simple Assault","BURIEN"
"35660","Simple Assault","BURIEN"
"2353","Simple Assault","SHORELINE"
"2504","Simple Assault","SHORELINE"
"2623","Simple Assault","SHORELINE"
"2834","Simple Assault","SHORELINE"
"2843","Simple Assault","SHORELINE"
"2906","Simple Assault","SHORELINE"
"4785","Simple Assault","SHORELINE"
"6247","Simple Assault","SHORELINE"
"8071","Simple Assault","SHORELINE"
"8838","Simple Assault","SHORELINE"
"9214","Simple Assault","SHORELINE"
"10145","Simple Assault","SHORELINE"
"10371","Simple Assault","SHORELINE"
"10375","Simple Assault","SHORELINE"
"10490","Simple Assault","SHORELINE"
"10547","Simple Assault","SHORELINE"
"10803","Simple Assault","SHORELINE"
"11098","Simple Assault","SHORELINE"
"11588","Simple Assault","SHORELINE"
"11982","Simple Assault","SHORELINE"
"11996","Simple Assault","SHORELINE"
"12208","Simple Assault","SHORELINE"
"12213","Simple Assault","SHORELINE"
"12307","Simple Assault","SHORELINE"
"12351","Simple Assault","SHORELINE"
"12483","Simple Assault","SHORELINE"
"12515","Simple Assault","SHORELINE"
"12528","Simple Assault","SHORELINE"
"12695","Simple Assault","SHORELINE"
"12721","Simple Assault","SHORELINE"
"12839","Simple Assault","SHORELINE"
"12841","Simple Assault","SHORELINE"
"12892","Simple Assault","SHORELINE"
"13012","Simple Assault","SHORELINE"
"13064","Simple Assault","SHORELINE"
"13088","Simple Assault","SHORELINE"
"13099","Simple Assault","SHORELINE"
"13140","Simple Assault","SHORELINE"
"13366","Simple Assault","SHORELINE"
"13455","Simple Assault","SHORELINE"
"13634","Simple Assault","SHORELINE"
"13650","Simple Assault","SHORELINE"
"14029","Simple Assault","SHORELINE"
"14062","Simple Assault","SHORELINE"
"14102","Simple Assault","SHORELINE"
"14124","Simple Assault","SHORELINE"
"14579","Simple Assault","SHORELINE"
"14580","Simple Assault","SHORELINE"
"14582","Simple Assault","SHORELINE"
"14801","Simple Assault","SHORELINE"
"14889","Simple Assault","SHORELINE"
"14897","Simple Assault","SHORELINE"
"14901","Simple Assault","SHORELINE"
"14908","Simple Assault","SHORELINE"
"15423","Simple Assault","SHORELINE"
"15458","Simple Assault","SHORELINE"
"15492","Simple Assault","SHORELINE"
"15509","Simple Assault","SHORELINE"
"15556","Simple Assault","SHORELINE"
"15628","Simple Assault","SHORELINE"
"15754","Simple Assault","SHORELINE"
"15778","Simple Assault","SHORELINE"
"15816","Simple Assault","SHORELINE"
"15952","Simple Assault","SHORELINE"
"15969","Simple Assault","SHORELINE"
"16116","Simple Assault","SHORELINE"
"16195","Simple Assault","SHORELINE"
"16257","Simple Assault","SHORELINE"
"16457","Simple Assault","SHORELINE"
"16499","Simple Assault","SHORELINE"
"16744","Simple Assault","SHORELINE"
"16766","Simple Assault","SHORELINE"
"16786","Simple Assault","SHORELINE"
"16808","Simple Assault","SHORELINE"
"16835","Simple Assault","SHORELINE"
"16842","Simple Assault","SHORELINE"
"16853","Simple Assault","SHORELINE"
"16859","Simple Assault","SHORELINE"
"16863","Simple Assault","SHORELINE"
"16951","Simple Assault","SHORELINE"
"17017","Simple Assault","SHORELINE"
"17038","Simple Assault","SHORELINE"
"17083","Simple Assault","SHORELINE"
"17138","Simple Assault","SHORELINE"
"17215","Simple Assault","SHORELINE"
"17248","Simple Assault","SHORELINE"
"17256","Simple Assault","SHORELINE"
"17274","Simple Assault","SHORELINE"
"17280","Simple Assault","SHORELINE"
"17297","Simple Assault","SHORELINE"
"17484","Simple Assault","SHORELINE"
"17493","Simple Assault","SHORELINE"
"17500","Simple Assault","SHORELINE"
"17520","Simple Assault","SHORELINE"
"17782","Simple Assault","SHORELINE"
"17795","Simple Assault","SHORELINE"
"17861","Simple Assault","SHORELINE"
"17946","Simple Assault","SHORELINE"
"18109","Simple Assault","SHORELINE"
"18296","Simple Assault","SHORELINE"
"18454","Simple Assault","SHORELINE"
"18738","Simple Assault","SHORELINE"
"19187","Simple Assault","SHORELINE"
"19234","Simple Assault","SHORELINE"
"19810","Simple Assault","SHORELINE"
"20045","Simple Assault","SHORELINE"
"20250","Simple Assault","SHORELINE"
"20308","Simple Assault","SHORELINE"
"20381","Simple Assault","SHORELINE"
"21433","Simple Assault","SHORELINE"
"21560","Simple Assault","SHORELINE"
"21785","Simple Assault","SHORELINE"
"21789","Simple Assault","SHORELINE"
"21869","Simple Assault","SHORELINE"
"22601","Simple Assault","SHORELINE"
"23047","Simple Assault","SHORELINE"
"23075","Simple Assault","SHORELINE"
"25933","Simple Assault","SHORELINE"
"26024","Simple Assault","SHORELINE"
"26323","Simple Assault","SHORELINE"
"26417","Simple Assault","SHORELINE"
"26419","Simple Assault","SHORELINE"
"26579","Simple Assault","SHORELINE"
"26800","Simple Assault","SHORELINE"
"26849","Simple Assault","SHORELINE"
"26891","Simple Assault","SHORELINE"
"26963","Simple Assault","SHORELINE"
"27231","Simple Assault","SHORELINE"
