"","incident_type","city"
"3450","Shoplifting","BURIEN"
"3897","Shoplifting","BURIEN"
"4137","Shoplifting","BURIEN"
"4148","Shoplifting","BURIEN"
"4769","Shoplifting","BURIEN"
"5434","Shoplifting","BURIEN"
"6103","Shoplifting","BURIEN"
"6185","Shoplifting","BURIEN"
"6590","Shoplifting","BURIEN"
"7721","Shoplifting","BURIEN"
"7939","Shoplifting","BURIEN"
"8130","Shoplifting","BURIEN"
"8823","Shoplifting","BURIEN"
"8931","Shoplifting","BURIEN"
"9067","Shoplifting","BURIEN"
"10076","Shoplifting","BURIEN"
"10180","Shoplifting","BURIEN"
"10617","Shoplifting","BURIEN"
"10899","Shoplifting","BURIEN"
"11573","Shoplifting","BURIEN"
"12065","Shoplifting","BURIEN"
"12069","Shoplifting","BURIEN"
"12151","Shoplifting","BURIEN"
"12194","Shoplifting","BURIEN"
"12314","Shoplifting","BURIEN"
"12394","Shoplifting","BURIEN"
"12503","Shoplifting","BURIEN"
"12511","Shoplifting","BURIEN"
"12616","Shoplifting","BURIEN"
"12846","Shoplifting","BURIEN"
"13024","Shoplifting","BURIEN"
"13031","Shoplifting","BURIEN"
"13224","Shoplifting","BURIEN"
"13308","Shoplifting","BURIEN"
"13501","Shoplifting","BURIEN"
"13665","Shoplifting","BURIEN"
"13865","Shoplifting","BURIEN"
"13872","Shoplifting","BURIEN"
"14606","Shoplifting","BURIEN"
"14832","Shoplifting","BURIEN"
"15467","Shoplifting","BURIEN"
"15720","Shoplifting","BURIEN"
"15821","Shoplifting","BURIEN"
"15975","Shoplifting","BURIEN"
"16015","Shoplifting","BURIEN"
"16016","Shoplifting","BURIEN"
"16020","Shoplifting","BURIEN"
"16033","Shoplifting","BURIEN"
"16070","Shoplifting","BURIEN"
"16104","Shoplifting","BURIEN"
"16106","Shoplifting","BURIEN"
"16224","Shoplifting","BURIEN"
"16225","Shoplifting","BURIEN"
"16251","Shoplifting","BURIEN"
"16258","Shoplifting","BURIEN"
"16343","Shoplifting","BURIEN"
"16765","Shoplifting","BURIEN"
"17001","Shoplifting","BURIEN"
"17034","Shoplifting","BURIEN"
"17119","Shoplifting","BURIEN"
"17294","Shoplifting","BURIEN"
"18178","Shoplifting","BURIEN"
"18252","Shoplifting","BURIEN"
"18476","Shoplifting","BURIEN"
"18648","Shoplifting","BURIEN"
"19569","Shoplifting","BURIEN"
"19815","Shoplifting","BURIEN"
"20193","Shoplifting","BURIEN"
"21166","Shoplifting","BURIEN"
"21228","Shoplifting","BURIEN"
"21272","Shoplifting","BURIEN"
"21276","Shoplifting","BURIEN"
"21331","Shoplifting","BURIEN"
"21440","Shoplifting","BURIEN"
"21826","Shoplifting","BURIEN"
"26047","Shoplifting","BURIEN"
"26243","Shoplifting","BURIEN"
"26407","Shoplifting","BURIEN"
"26802","Shoplifting","BURIEN"
"27028","Shoplifting","BURIEN"
"27242","Shoplifting","BURIEN"
"28873","Shoplifting","BURIEN"
"28883","Shoplifting","BURIEN"
"28885","Shoplifting","BURIEN"
"28935","Shoplifting","BURIEN"
"29013","Shoplifting","BURIEN"
"29084","Shoplifting","BURIEN"
"29425","Shoplifting","BURIEN"
"29594","Shoplifting","BURIEN"
"29630","Shoplifting","BURIEN"
"30699","Shoplifting","BURIEN"
"30936","Shoplifting","BURIEN"
"31140","Shoplifting","BURIEN"
"31392","Shoplifting","BURIEN"
"31584","Shoplifting","BURIEN"
"32955","Shoplifting","BURIEN"
"33162","Shoplifting","BURIEN"
"33216","Shoplifting","BURIEN"
"33308","Shoplifting","BURIEN"
"33532","Shoplifting","BURIEN"
"33711","Shoplifting","BURIEN"
"33751","Shoplifting","BURIEN"
"33758","Shoplifting","BURIEN"
"34169","Shoplifting","BURIEN"
"34666","Shoplifting","BURIEN"
"34826","Shoplifting","BURIEN"
