"","Offense","Seattle_neighborhoods"
"51762","Simple Assault","BALLARD SOUTH"
"51876","Simple Assault","BALLARD SOUTH"
"51920","Simple Assault","BALLARD SOUTH"
"52052","Simple Assault","BALLARD SOUTH"
"52205","Simple Assault","BALLARD SOUTH"
"52463","Simple Assault","BALLARD SOUTH"
"52518","Simple Assault","BALLARD SOUTH"
"52525","Simple Assault","BALLARD SOUTH"
"52651","Simple Assault","BALLARD SOUTH"
"52677","Simple Assault","BALLARD SOUTH"
"52734","Simple Assault","BALLARD SOUTH"
"52949","Simple Assault","BALLARD SOUTH"
"52988","Simple Assault","BALLARD SOUTH"
"53023","Simple Assault","BALLARD SOUTH"
"53104","Simple Assault","BALLARD SOUTH"
"53126","Simple Assault","BALLARD SOUTH"
"53165","Simple Assault","BALLARD SOUTH"
"53379","Simple Assault","BALLARD SOUTH"
"53704","Simple Assault","BALLARD SOUTH"
"53852","Simple Assault","BALLARD SOUTH"
"53874","Simple Assault","BALLARD SOUTH"
"54033","Simple Assault","BALLARD SOUTH"
"54086","Simple Assault","BALLARD SOUTH"
"54445","Simple Assault","BALLARD SOUTH"
"54920","Simple Assault","BALLARD SOUTH"
"54999","Simple Assault","BALLARD SOUTH"
"55359","Simple Assault","BALLARD SOUTH"
"55479","Simple Assault","BALLARD SOUTH"
"55552","Simple Assault","BALLARD SOUTH"
"55639","Simple Assault","BALLARD SOUTH"
"55690","Simple Assault","BALLARD SOUTH"
"55729","Simple Assault","BALLARD SOUTH"
"55756","Simple Assault","BALLARD SOUTH"
"56031","Simple Assault","BALLARD SOUTH"
"56131","Simple Assault","BALLARD SOUTH"
"56226","Simple Assault","BALLARD SOUTH"
"56312","Simple Assault","BALLARD SOUTH"
"56468","Simple Assault","BALLARD SOUTH"
"56571","Simple Assault","BALLARD SOUTH"
"56627","Simple Assault","BALLARD SOUTH"
"56735","Simple Assault","BALLARD SOUTH"
"56776","Simple Assault","BALLARD SOUTH"
"56803","Simple Assault","BALLARD SOUTH"
"56879","Simple Assault","BALLARD SOUTH"
"56897","Simple Assault","BALLARD SOUTH"
"57270","Simple Assault","BALLARD SOUTH"
"57625","Simple Assault","BALLARD SOUTH"
"57664","Simple Assault","BALLARD SOUTH"
"57819","Simple Assault","BALLARD SOUTH"
"57928","Simple Assault","BALLARD SOUTH"
"58121","Simple Assault","BALLARD SOUTH"
"58186","Simple Assault","BALLARD SOUTH"
"58290","Simple Assault","BALLARD SOUTH"
"58295","Simple Assault","BALLARD SOUTH"
"58337","Simple Assault","BALLARD SOUTH"
"58373","Simple Assault","BALLARD SOUTH"
"58454","Simple Assault","BALLARD SOUTH"
"58567","Simple Assault","BALLARD SOUTH"
"58618","Simple Assault","BALLARD SOUTH"
"58843","Simple Assault","BALLARD SOUTH"
"58981","Simple Assault","BALLARD SOUTH"
"59009","Simple Assault","BALLARD SOUTH"
"59214","Simple Assault","BALLARD SOUTH"
"59369","Simple Assault","BALLARD SOUTH"
"59466","Simple Assault","BALLARD SOUTH"
"59654","Simple Assault","BALLARD SOUTH"
"59900","Simple Assault","BALLARD SOUTH"
"60054","Simple Assault","BALLARD SOUTH"
"60141","Simple Assault","BALLARD SOUTH"
"60291","Simple Assault","BALLARD SOUTH"
"60417","Simple Assault","BALLARD SOUTH"
"60820","Simple Assault","BALLARD SOUTH"
"60821","Simple Assault","BALLARD SOUTH"
"60977","Simple Assault","BALLARD SOUTH"
"61234","Simple Assault","BALLARD SOUTH"
"61469","Simple Assault","BALLARD SOUTH"
"61639","Simple Assault","BALLARD SOUTH"
"62021","Simple Assault","BALLARD SOUTH"
"62273","Simple Assault","BALLARD SOUTH"
"62325","Simple Assault","BALLARD SOUTH"
"62340","Simple Assault","BALLARD SOUTH"
"63289","Simple Assault","BALLARD SOUTH"
"64143","Simple Assault","BALLARD SOUTH"
"64285","Simple Assault","BALLARD SOUTH"
"65152","Simple Assault","BALLARD SOUTH"
"65653","Simple Assault","BALLARD SOUTH"
"80349","Simple Assault","BALLARD SOUTH"
"97261","Simple Assault","BALLARD SOUTH"
"97370","Simple Assault","BALLARD SOUTH"
"97408","Simple Assault","BALLARD SOUTH"
"97777","Simple Assault","BALLARD SOUTH"
"160061","Simple Assault","BALLARD SOUTH"
"175380","Simple Assault","BALLARD SOUTH"
"175782","Simple Assault","BALLARD SOUTH"
"213758","Simple Assault","BALLARD SOUTH"
"298102","Simple Assault","BALLARD SOUTH"
