"","Offense","Seattle_neighborhoods"
"47295","Simple Assault","BALLARD NORTH"
"47713","Simple Assault","BALLARD NORTH"
"48170","Simple Assault","BALLARD NORTH"
"48277","Simple Assault","BALLARD NORTH"
"48724","Simple Assault","BALLARD NORTH"
"49282","Simple Assault","BALLARD NORTH"
"50028","Simple Assault","BALLARD NORTH"
"50147","Simple Assault","BALLARD NORTH"
"50636","Simple Assault","BALLARD NORTH"
"51205","Simple Assault","BALLARD NORTH"
"51206","Simple Assault","BALLARD NORTH"
"51827","Simple Assault","BALLARD NORTH"
"51971","Simple Assault","BALLARD NORTH"
"52326","Simple Assault","BALLARD NORTH"
"52407","Simple Assault","BALLARD NORTH"
"52717","Simple Assault","BALLARD NORTH"
"53038","Simple Assault","BALLARD NORTH"
"53105","Simple Assault","BALLARD NORTH"
"53198","Simple Assault","BALLARD NORTH"
"54009","Simple Assault","BALLARD NORTH"
"54017","Simple Assault","BALLARD NORTH"
"54061","Simple Assault","BALLARD NORTH"
"54353","Simple Assault","BALLARD NORTH"
"54431","Simple Assault","BALLARD NORTH"
"54507","Simple Assault","BALLARD NORTH"
"54642","Simple Assault","BALLARD NORTH"
"54823","Simple Assault","BALLARD NORTH"
"54990","Simple Assault","BALLARD NORTH"
"55107","Simple Assault","BALLARD NORTH"
"55379","Simple Assault","BALLARD NORTH"
"55432","Simple Assault","BALLARD NORTH"
"55682","Simple Assault","BALLARD NORTH"
"55836","Simple Assault","BALLARD NORTH"
"55913","Simple Assault","BALLARD NORTH"
"57001","Simple Assault","BALLARD NORTH"
"57003","Simple Assault","BALLARD NORTH"
"57037","Simple Assault","BALLARD NORTH"
"57038","Simple Assault","BALLARD NORTH"
"57048","Simple Assault","BALLARD NORTH"
"57065","Simple Assault","BALLARD NORTH"
"57136","Simple Assault","BALLARD NORTH"
"57169","Simple Assault","BALLARD NORTH"
"57263","Simple Assault","BALLARD NORTH"
"57409","Simple Assault","BALLARD NORTH"
"58525","Simple Assault","BALLARD NORTH"
"58726","Simple Assault","BALLARD NORTH"
"58767","Simple Assault","BALLARD NORTH"
"60090","Simple Assault","BALLARD NORTH"
"61167","Simple Assault","BALLARD NORTH"
"61595","Simple Assault","BALLARD NORTH"
"62380","Simple Assault","BALLARD NORTH"
"62826","Simple Assault","BALLARD NORTH"
"64275","Simple Assault","BALLARD NORTH"
"64312","Simple Assault","BALLARD NORTH"
"64356","Simple Assault","BALLARD NORTH"
"65323","Simple Assault","BALLARD NORTH"
"66572","Simple Assault","BALLARD NORTH"
"71013","Simple Assault","BALLARD NORTH"
"73952","Simple Assault","BALLARD NORTH"
"97258","Simple Assault","BALLARD NORTH"
"97461","Simple Assault","BALLARD NORTH"
"97817","Simple Assault","BALLARD NORTH"
"46654","Simple Assault","BALLARD SOUTH"
"47190","Simple Assault","BALLARD SOUTH"
"47257","Simple Assault","BALLARD SOUTH"
"47332","Simple Assault","BALLARD SOUTH"
"47421","Simple Assault","BALLARD SOUTH"
"47609","Simple Assault","BALLARD SOUTH"
"47897","Simple Assault","BALLARD SOUTH"
"47963","Simple Assault","BALLARD SOUTH"
"48086","Simple Assault","BALLARD SOUTH"
"48116","Simple Assault","BALLARD SOUTH"
"48263","Simple Assault","BALLARD SOUTH"
"48312","Simple Assault","BALLARD SOUTH"
"48482","Simple Assault","BALLARD SOUTH"
"48486","Simple Assault","BALLARD SOUTH"
"48574","Simple Assault","BALLARD SOUTH"
"48859","Simple Assault","BALLARD SOUTH"
"48871","Simple Assault","BALLARD SOUTH"
"48997","Simple Assault","BALLARD SOUTH"
"49012","Simple Assault","BALLARD SOUTH"
"49069","Simple Assault","BALLARD SOUTH"
"49101","Simple Assault","BALLARD SOUTH"
"49296","Simple Assault","BALLARD SOUTH"
"49672","Simple Assault","BALLARD SOUTH"
"49708","Simple Assault","BALLARD SOUTH"
"49861","Simple Assault","BALLARD SOUTH"
"50016","Simple Assault","BALLARD SOUTH"
"50196","Simple Assault","BALLARD SOUTH"
"50458","Simple Assault","BALLARD SOUTH"
"50582","Simple Assault","BALLARD SOUTH"
"50680","Simple Assault","BALLARD SOUTH"
"50809","Simple Assault","BALLARD SOUTH"
"51137","Simple Assault","BALLARD SOUTH"
"51336","Simple Assault","BALLARD SOUTH"
"51539","Simple Assault","BALLARD SOUTH"
"51553","Simple Assault","BALLARD SOUTH"
"51565","Simple Assault","BALLARD SOUTH"
"51673","Simple Assault","BALLARD SOUTH"
"51690","Simple Assault","BALLARD SOUTH"
"51722","Simple Assault","BALLARD SOUTH"
